AMColumnID,IsBucket,IsSegment,DecodeStrategy
LatticeID,false,true,
LDC_Name,true,false,
CABLE_TELEX_NUMBER,true,false,
CHIEF_EXECUTIVE_OFFICER_NAME,true,false,
CHIEF_EXECUTIVE_OFFICER_TITLE,true,false,
LDC_City,true,false,
CLUSTER_CRS,true,true,
CLUSTER_TPS,true,true,
COMPOSITE_RISK_SCORE,true,true,
COUNTRY_ACCESS_CODE,true,false,
LDC_Country,true,false,
CREDIT_CARD_RESPONSE_R,true,true,
CURRENCY_CODE,true,true,
DIAS_CODE,true,true,
DnB_CITY_CODE,true,true,
DnB_CONTINENT_CODE,true,true,
DnB_COUNTRY_CODE,true,false,
DnB_COUNTY_CODE,true,true,
DnB_MAILING_CITY_CODE,true,false,
DnB_MAILING_CONTINENT_CODE,true,false,
DnB_MAILING_COUNTRY_CODE,true,false,
DnB_MAILING_COUNTY_CODE,true,false,
DnB_MAILING_STATE_PROVINCE_CODE,true,false,
DnB_STATE_PROVINCE_CODE,true,true,
DOMESTIC_ULTIMATE_BUSINESS_NAME,true,false,
DOMESTIC_ULTIMATE_CITY_NAME,true,true,
DOMESTIC_ULTIMATE_DnB_CITY_CODE,true,true,
DOMESTIC_ULTIMATE_DnB_COUNTRY_CODE,true,true,
DOMESTIC_ULTIMATE_DUNS_NUMBER,true,true,
DOMESTIC_ULTIMATE_POSTAL_CODE,true,true,
DOMESTIC_ULTIMATE_STATE_PROV_ABR,true,true,
DOMESTIC_ULTIMATE_STATE_PROVINCE,true,true,
DOMESTIC_ULTIMATE_STREET_ADDRESS,true,false,
LDC_DUNS,true,false,
EMPLOYEES_HERE,true,true,
EMPLOYEES_HERE_RELIABILITY_CODE,true,true,
EMPLOYEES_TOTAL,true,true,
EMPLOYEES_TOTAL_RELIABILITY_CODE,true,true,
FACSIMILE_NUMBER,true,false,
FULL_REPORT_DATE,true,true,
GLOBAL_ULTIMATE_BUSINESS_NAME,true,false,
GLOBAL_ULTIMATE_CITY_NAME,true,true,
GLOBAL_ULTIMATE_COUNTRY_NAME,true,true,
GLOBAL_ULTIMATE_DnB_CITY_CODE,true,true,
GLOBAL_ULTIMATE_DnB_CONTINENT_CODE,true,true,
GLOBAL_ULTIMATE_DnB_COUNTRY_CODE,true,true,
GLOBAL_ULTIMATE_DnB_COUNTY_CODE,true,true,
GLOBAL_ULTIMATE_DUNS_NUMBER,true,true,
GLOBAL_ULTIMATE_INDICATOR,true,true,
GLOBAL_ULTIMATE_POSTAL_CODE,true,true,
GLOBAL_ULTIMATE_STATE_PROV_ABR,true,true,
GLOBAL_ULTIMATE_STATE_PROVINCE_NAME,true,true,
GLOBAL_ULTIMATE_STREET_ADDRESS,true,false,
HEADQUARTER_PARENT_BUSINESS_NAME,true,false,
HEADQUARTER_PARENT_CITY_NAME,true,true,
HEADQUARTER_PARENT_COUNTRY_NAME,true,true,
HEADQUARTER_PARENT_DnB_CITY_CODE,true,false,
HEADQUARTER_PARENT_DnB_CONTINENT,true,true,
