New Metro Name,Country
"Adelaide (Central / Hills), SA",Australia
"Adelaide (North), SA",Australia
"Adelaide (South), SA",Australia
"Adelaide (West), SA",Australia
"Australian Capital Territory, ACT",Australia
"Ballarat, VIC",Australia
"Barossa / Yorke / Mid North, SA",Australia
"Bendigo, VIC",Australia
"Brisbane (East), QLD",Australia
"Brisbane (Inner City), QLD",Australia
"Brisbane (North), QLD",Australia
"Brisbane (South), QLD",Australia
"Brisbane (West), QLD",Australia
"Bunbury, WA",Australia
"Cairns, QLD",Australia
"Capital Region, NSW",Australia
"Central Coast, NSW",Australia
"Central West, NSW",Australia
"Coffs Harbour / Grafton, NSW",Australia
"Darling Downs / Maranoa, QLD",Australia
"Darwin, NT",Australia
"Far West / Orana, NSW",Australia
"Fitzroy, QLD",Australia
"Geelong, VIC",Australia
"Gold Coast, QLD",Australia
"Hobart, TAS",Australia
"Hume, VIC",Australia
"Hunter Valley exc Newcastle, NSW",Australia
"Illawarra, NSW",Australia
"Ipswich, QLD",Australia
"Latrobe / Gippsland, VIC",Australia
"Launceston / North East, TAS",Australia
"Logan / Beaudesert, QLD",Australia
"Mackay, QLD",Australia
"Mandurah, WA",Australia
"Melbourne (Inner East), VIC",Australia
"Melbourne (Inner South), VIC",Australia
"Melbourne (Inner), VIC",Australia
"Melbourne (North East), VIC",Australia
"Melbourne (North West), VIC",Australia
"Melbourne (Outer East), VIC",Australia
"Melbourne (South East), VIC",Australia
"Melbourne (West), VIC",Australia
"Mid North Coast, NSW",Australia
"Moreton Bay (North), QLD",Australia
"Moreton Bay (South), QLD",Australia
"Mornington Peninsula, VIC",Australia
"Murray, NSW",Australia
"New England / North West, NSW",Australia
"Newcastle / Lake Macquarie, NSW",Australia
"North West, VIC",Australia
"Northern Territory / Outback, NT",Australia
"Perth (Inner), WA",Australia
"Perth (North East), WA",Australia
"Perth (North West), WA",Australia
"Perth (South East), WA",Australia
"Perth (South West), WA",Australia
"Queensland / Outback, QLD",Australia
"Richmond / Tweed, NSW",Australia
"Riverina, NSW",Australia
"Shepparton, VIC",Australia
"South Australia / Outback, SA",Australia
"South Australia / South East, SA",Australia
"South East, TAS",Australia
"Southern Highlands / Shoalhaven, NSW",Australia
"Sunshine Coast, QLD",Australia
"Sydney (Baulkham Hills / Hawkesbury), NSW",Australia
"Sydney (Blacktown), NSW",Australia
"Sydney (City / Inner South), NSW",Australia
"Sydney (Eastern Suburbs), NSW",Australia
"Sydney (Inner South West), NSW",Australia
"Sydney (Inner West), NSW",Australia
"Sydney (North Sydney / Hornsby), NSW",Australia
"Sydney (Northern Beaches), NSW",Australia
"Sydney (Outer South West), NSW",Australia
"Sydney (Outer West / Blue Mountains), NSW",Australia
"Sydney (Parramatta), NSW",Australia
"Sydney (Ryde), NSW",Australia
"Sydney (South West), NSW",Australia
"Sydney (Sutherland), NSW",Australia
"Toowoomba, QLD",Australia
"Townsville, QLD",Australia
"Warrnambool / South West, VIC",Australia
"West / North West, TAS",Australia
"Wester Australia / Outback, WA",Australia
"Wester Australia / Wheat Belt, WA",Australia
"Wide Bay, QLD",Australia
"Abbotsford / Mission, BC",Canada
"Alma, QC",Canada
"Amos, QC",Canada
"Baie-Comeau, QC",Canada
"Barrie, ON",Canada
"Bathurst, NB",Canada
"Bay Roberts, NL",Canada
"Belleville, ON",Canada
"Brandon, MB",Canada
"Brantford, ON",Canada
"Brockville, ON",Canada
"Brooks, AB",Canada
"Calgary, AB",Canada
"Campbell River, BC",Canada
"Campbellton, NB",Canada
"Camrose, AB",Canada
"Canmore, AB",Canada
"Cape Breton, NS",Canada
"Centre Wellington, ON",Canada
"Charlottetown, PE",Canada
"Chatham-Kent, ON",Canada
"Chilliwack, BC",Canada
"Cobourg, ON",Canada
"Cold Lake, AB",Canada
"Collingwood, ON",Canada
"Corner Brook, NL",Canada
"Cornwall, ON",Canada
"Courtenay, BC",Canada
"Cowansville, QC",Canada
"Cranbrook, BC",Canada
"Dawson Creek, BC",Canada
"Dolbeau-Mistassini, QC",Canada
"Drummondville, QC",Canada
"Duncan, BC",Canada
"Edmonton, AB",Canada
"Edmundston, NB",Canada
"Elliot Lake, ON",Canada
"Estevan, SK",Canada
"Fort St. John, BC",Canada
"Fredericton, NB",Canada
"Granby, QC",Canada
"Grand Falls / Windsor, NL",Canada
"Grande Prairie, AB",Canada
"Greater Sudbury / Grand Sudbury, ON",Canada
"Guelph, ON",Canada
"Halifax, NS",Canada
"Hamilton, ON",Canada
"Hawkesbury, ON",Canada
"High River, AB",Canada
"Ingersoll, ON",Canada
"Joliette, QC",Canada
"Kamloops, BC",Canada
"Kawartha Lakes, ON",Canada
"Kelowna, BC",Canada
"Kenora, ON",Canada
"Kentville, NS",Canada
"Kingston, ON",Canada
"Kitchener / Cambridge / Waterloo, ON",Canada
"Lachute, QC",Canada
"Lacombe, AB",Canada
"Leamington, ON",Canada
"Lethbridge, AB",Canada
"Lloydminster, AB",Canada
"London, ON",Canada
"Matane, QC",Canada
"Medicine Hat, AB",Canada
"Midland, ON",Canada
"Miramichi, NB",Canada
"Moncton, NB",Canada
"Montreal, QC",Canada
"Moose Jaw, SK",Canada
"Nanaimo, BC",Canada
"New Glasgow, NS",Canada
"Norfolk, ON",Canada
"North Battleford, SK",Canada
"North Bay, ON",Canada
"Okotoks, AB",Canada
"Orillia, ON",Canada
"Oshawa, ON",Canada
"Ottawa, ON / Gatineau, QB",Canada
"Owen Sound, ON",Canada
"Parksville, BC",Canada
"Pembroke, ON",Canada
"Penticton, BC",Canada
"Petawawa, ON",Canada
"Peterborough, ON",Canada
"Port Alberni, BC",Canada
"Port Hope, ON",Canada
"Portage La Prairie, MB",Canada
"Powell River, BC",Canada
"Prince Albert, SK",Canada
"Prince George, BC",Canada
"Prince Rupert, BC",Canada
"Quebec, QC",Canada
"Quesnel, BC",Canada
"Red Deer, AB",Canada
"Regina, SK",Canada
"Rimouski, QC",Canada
"Riviere-du-Loup, QC",Canada
"Rouyn-noranda'Or, QC",Canada
"Saguenay, QC",Canada
"Saint John, NB",Canada
"Saint-Georges, QC",Canada
"Saint-Hyacinthe, QC",Canada
"Saint-Jean-sur-Richelieu, QC",Canada
"Salaberry-de-Valleyfield, QC",Canada
"Salmon Arm, BC",Canada
"Sarnia, ON",Canada
"Saskatoon, SK",Canada
"Sault Ste. Marie, ON",Canada
"Sept-Iles, QC",Canada
"Shawinigan, QC",Canada
"Sherbrooke, QC",Canada
"Sorel-Tracy, QC",Canada
"Squamish, BC",Canada
"St. Catharines / Niagara, ON",Canada
"St. John's, NL",Canada
"Steinbach, MB",Canada
"Stratford, ON",Canada
"Strathmore, AB",Canada
"Summerside, PE",Canada
"Swift Current, SK",Canada
"Sylvan Lake, AB",Canada
"Temiskaming Shores, ON",Canada
"Terrace, BC",Canada
"Thetford Mines, QC",Canada
"Thompson, MB",Canada
"Thunder Bay, ON",Canada
"Tillsonburg, ON",Canada
"Timmins, ON",Canada
"Toronto, ON",Canada
"Trois-Rivieres, QC",Canada
"Truro, NS",Canada
"Val-d'Or, QC",Canada
"Vancouver, BC",Canada
"Vernon, BC",Canada
"Victoria, BC",Canada
"Victoriaville, QC",Canada
"Wetaskiwin, AB",Canada
"Whitehorse, YT",Canada
"Williams Lake, BC",Canada
"Windsor, ON",Canada
"Winnipeg, MB",Canada
"Wood Buffalo, AB",Canada
"Woodstock, ON",Canada
"Yellowknife, NT",Canada
"Yorkton, SK",Canada
