DnB Export Restriction SFDC,DnB Export Restriction - All,Add To New Account Master,Model Tag,Insights Tag,Internal Enrichment Tag,External Enchrichment Tag,Segmentation Tag,Segment Bucketing,Internal Name,Display Name,Description,Data Type,Availability,Possible Values Code Table,Category,Statistical Type,DisplayDiscretizationStrategy,FundamentalType
N,N,Y,N,N,N,Y,N,N,LE_DOMAIN,Website,Website of a business. Available globally. Blank-filled when not available.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,URI
Y,Y,Y,N,N,Y,N,Y,N,LE_PRIMARY_DUNS,Primary DUNS,DUNS of domastic ultimate parent,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,LE_IS_PRIMARY_LOCATION,Is Primary Location,"Indicates whether the business address (street, city, state & country) is the HQ business address. Available globally.",Alpha,,,FIRMOGRAPHICS,NOMINAL,,BOOLEAN
N,N,Y,N,N,N,Y,Y,N,LE_IS_PRIMARY_DOMAIN,Is Primary Website,Indicates whether the website is the primary website. Available globally.,Alpha,,,FIRMOGRAPHICS,NOMINAL,,BOOLEAN
N,N,Y,N,N,N,Y,N,N,LE_COMPANY_DESCRIPTION,Description,Description of a business. Available for US Only. Blank-filled when not available.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,N,N,LE_COMPANY_PHONE,Country Headquarter Phone,"The primary voice telephone number for the Domestic Ultimate business with no formatting or punctuation. This string contains all telecommunication number components (area code, exchange, number). Available globally. Blank-filled when not available.",Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,Y,N,LE_SIC_CODE,SIC Code (8 digit),8 digit SIC Code of domestic ultimate business,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,LE_NAICS_CODE,NAIC Code (6 digit),6 digit NAICS Code of domestic ultimate business,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,Y,Y,N,Y,Y,N,LE_INDUSTRY,Secondary Industry,Primary SIC Description of domestic ultimate business. Available Globally.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,Y,Y,N,Y,Y,N,LE_REVENUE_RANGE,Revenue Range,"Revenue Range of domestic ultimate business, which is the highest level parent for the corporate within the country. Available Globally.",Alpha-Numeric,,,FIRMOGRAPHICS,ORDINAL,,ENUM
N,N,Y,Y,Y,N,Y,Y,N,LE_EMPLOYEE_RANGE,Employee Range,"Employee Range of domestic ultimate business, which is the highest level parent for the corporate within the country. Available Globally.",Alpha-Numeric,,,FIRMOGRAPHICS,ORDINAL,,ENUM
Y,N,Y,N,N,Y,N,Y,N,LE_NUMBER_OF_LOCATIONS,Company Locations,Number of location of Global ultimate business. Available Globally.,Numeric,,,FIRMOGRAPHICS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,Y,Y,N,N,Y,N,LE_COUNTRY,Country,"Country of domestic ultimate business, which is the highest level parent for the corporate. Available Globally.",Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,N,N,N,N,N,N,N,FILLER,N.A.,N.A.,,,,FIRMOGRAPHICS,,,
Y,Y,Y,N,N,Y,N,Y,N,DUNS_NUMBER,D-U-N-S Number,A randomly generated nine-digit number assigned to identify unique business establishments.May contain lead zeros which will be lost if field is treated as numeric.  Use only the 9 right-most digits. Available globally.,Alpha-Numeric,High population.Available globally,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,N,N,BUSINESS_NAME,Company Name,The Primary or Registered name of the business. Available globally,Alpha-Numeric,High population.Available globally,,FIRMOGRAPHICS,NOMINAL,,ALPHA
