Add To New Account Master,EOL Tag,Model Tag,Insights Tag,BIS Tag,Internal Enrichment Tag,External Enrichment Tag,Segmentation Tag,Segment Bucketing,ExternalColumnID,Source,SourceColumnName,Description,DataType,Display Name,Category,SubCategory,StatisticalType,DisplayDiscretizationStrategy,FundamentalType
N,,,N,N,N,N,N,N,BusinessEstablishedMonth,,,Month business was established,FLOAT,Established Month,FIRMOGRAPHICS,Other,,,ENUM
N,,,N,N,N,N,N,N,PatentID,Patents,,Government issued ID for granted patent,NVARCHAR(100),Granted Patent ID,FIRMOGRAPHICS,Other,RATIO,,ALPHA
N,,N,N,N,N,N,N,N,ActiveRetirementParticipants,FiftyFiveHundred_Main,,Number of participants in the company reitirement plan that are in active service with the company,INT,Active Retirement Plan Participants,FIRMOGRAPHICS,Other,RATIO,"{""geometric"": { ""minValue"":10,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,AdvertisingTechnologiesTopAttributes,BuiltWith_Pivoted_Source,,A popular Advertising Technology is detected in use,NVARCHAR(500),Has Top Ad Tech,WEBSITE_PROFILE,Other,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_12Month,AlexaTimeseries,,12 Month historical website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites,INT,"Website Popularity Rank, 12 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_3Month,AlexaTimeseries,,3 Month historical website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites.,INT,"Website Popularity Rank, 3 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_6Month,AlexaTimeseries,,6 Month historical website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites.,INT,"Website Popularity Rank, 6 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_9Month,AlexaTimeseries,,9 Month historical website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites.,INT,"Website Populariity Rank, 9 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_PctChange_3Month,AlexaTimeseries,,Change in Website Popularity Rank over the prior 3 month period,FLOAT,"3 Month Change, Website Popularity Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_PctChange_6Month,AlexaTimeseries,,Change in Website Popularity Rank over the prior 6 month period,FLOAT,"6 Month Change, Website Popularity Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_PctChange_9Month,AlexaTimeseries,,Change in Website Popularity Rank over the prior 9 month period,FLOAT,"9 Month Change, Website Popularity Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_12Month,AlexaTimeseries,,12 Month historical website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,"Website Unique Visitors Rank, 12 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_3Month,AlexaTimeseries,,3 Month historical website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,"Website Unique Visitors Rank, 3 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_6Month,AlexaTimeseries,,6 Month historical website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,"Website Unique Visitors Rank, 6 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_9Month,AlexaTimeseries,,9 Month historical website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,"Website Unique Visitors Rank, 9 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_PctChange_3Month,AlexaTimeseries,,Change in Website Unique Visitors Rank over the prior 3 month period,FLOAT,"3 Month Change, Website Unique Visitors Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_PctChange_6Month,AlexaTimeseries,,Change in Website Unique Visitors Rank over the prior 6 month period,FLOAT,"6 Month Change, Website Unique Visitors Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_PctChange_9Month,AlexaTimeseries,,Change in Website Unique Visitors Rank over the prior 9 month period,FLOAT,"9 Month Change, Website Unique Visitors Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,,Y,N,N,N,N,N,N,Alexa_Source_IsMatched,N/A,,Internal Source Match Attribute Alexa,BIT,Internal Source Match Attribute Alexa,FIRMOGRAPHICS,Other,NOMINAL,,BOOLEAN
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_12Month,AlexaTimeseries,,"12 Month historical rank of website popularity based on number of total visits. The 'most popular' site is given a rank of 1, the second 'most popular' a rank of 2, and so on down to the millions of websites that receive relatively few visitors.",INT,"Website Views Rank, 12 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_3Month,AlexaTimeseries,,"3 Month historical rank of website popularity based on number of total visits. The 'most popular' site is given a rank of 1, the second 'most popular' a rank of 2, and so on down to the millions of websites that receive relatively few visitors.",INT,"Website Views Rank, 3 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,,Y,N,N,N,N,N,N,Awards_Source_IsMatched,N/A,,Internal Source Match Attribute Awards,BIT,Internal Source Match Attribute Awards,FIRMOGRAPHICS,Other,NOMINAL,,BOOLEAN
N,,,N,N,N,N,N,N,AwardWebsite,Awards,,Website announcing award,NVARCHAR(100),Award Website,ONLINE_PRESENCE,Other,,,URI
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_6Month,AlexaTimeseries,,"6 Month historical rank of website popularity based on number of total visits. The 'most popular' site is given a rank of 1, the second 'most popular' a rank of 2, and so on down to the millions of websites that receive relatively few visitors.",INT,"Website Views Rank, 6 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_9Month,AlexaTimeseries,,"9 Month historical rank of website popularity based on number of total visits. The 'most popular' site is given a rank of 1, the second 'most popular' a rank of 2, and so on down to the millions of websites that receive relatively few visitors.",INT,"Website Views Rank, 9 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_PctChange_3Month,AlexaTimeseries,,Change in Website Views Rank over the prior 9 month period,FLOAT,"3 Month Change, Website Views Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_PctChange_6Month,AlexaTimeseries,,Change in Website Views Rank over the prior 6 month period,FLOAT,"6 Month Change, Website Views Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_PctChange_9Month,AlexaTimeseries,,Change in Website Views Rank over the prior 9 month period,FLOAT,"9 Month Change, Website Views Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
