C_Country,Region
Malaysia,APJ
Taiwan,APJ
Australia,APJ
China,APJ
India,APJ
Philippines,APJ
Singapore,APJ
Vietnam,APJ
Hong Kong,APJ
Fiji,APJ
Armenia,APJ
Thailand,APJ
Indonesia,APJ
Japan,APJ
Sri Lanka,APJ
Macau,APJ
New Zealand,APJ
Bangladesh,APJ
Vanuatu,APJ
Mongolia,APJ
South Korea,APJ
Nepal,APJ
Myanmar,APJ
Tonga,APJ
Laos,APJ
Kiribati,APJ
Papua New Guinea,APJ
Cook Islands,APJ
Tajikistan,APJ
Samoa American,APJ
Cambodia,APJ
Palau,APJ
Netherlands Antilles,APJ
Maldives,APJ
French Polynesia,APJ
Tokelau Islands,APJ
Tuvalu,APJ
New Caledonia,APJ
East Timor,APJ
Micronesia,APJ
Virgin Islands British,APJ
Martinique,APJ
Antarctica,APJ
PE,APJ
Bhutan,APJ
Spain,EMEA
Switzerland,EMEA
Italy,EMEA
France,EMEA
Israel,EMEA
Germany,EMEA
United Kingdom,EMEA
Morocco,EMEA
Lebanon,EMEA
Ireland,EMEA
Tanzania,EMEA
Algeria,EMEA
Russian Federation,EMEA
Saudi Arabia,EMEA
Kazakhstan,EMEA
Nigeria,EMEA
Sweden,EMEA
South Africa,EMEA
Finland,EMEA
Netherlands,EMEA
Pakistan,EMEA
Egypt,EMEA
United Arab Emirates,EMEA
Austria,EMEA
Belgium,EMEA
Kenya,EMEA
Romania,EMEA
Bahrain,EMEA
Congo,EMEA
Georgia,EMEA
Turkey,EMEA
Uganda,EMEA
Mozambique,EMEA
Kuwait,EMEA
Belarus,EMEA
Poland,EMEA
Botswana,EMEA
Libya,EMEA
Mauritius,EMEA
Iraq,EMEA
Qatar,EMEA
Tunisia,EMEA
Portugal,EMEA
Kyrgyzstan,EMEA
Croatia,EMEA
Norway,EMEA
Denmark,EMEA
Jordan,EMEA
Madagascar,EMEA
Chad,EMEA
Ukraine,EMEA
Liberia,EMEA
Andorra,EMEA
Oman,EMEA
Ivory Coast,EMEA
Greece,EMEA
Swaziland,EMEA
Afghanistan,EMEA
Zambia,EMEA
Macedonia,EMEA
Luxembourg,EMEA
Senegal,EMEA
Ghana,EMEA
Djibouti,EMEA
Hungary,EMEA
Cyprus,EMEA
Yemen,EMEA
Serbia,EMEA
Togo,EMEA
Czech Republic,EMEA
Malta,EMEA
Uzbekistan,EMEA
Angola,EMEA
Malawi,EMEA
Zimbabwe,EMEA
Gibraltar,EMEA
Estonia,EMEA
Latvia,EMEA
Mauritania,EMEA
Rwanda,EMEA
Bosnia-Herz.,EMEA
Ethiopia,EMEA
Bulgaria,EMEA
Seychelles,EMEA
Cape Verde,EMEA
Albania,EMEA
Cameroon,EMEA
Azerbaijan,EMEA
Benin,EMEA
Iceland,EMEA
Niger,EMEA
Slovenia,EMEA
Guinea-Bissau,EMEA
Guinea,EMEA
Burkina-Faso,EMEA
Eritrea,EMEA
South Sudan,EMEA
Sierra Leone,EMEA
Gambia,EMEA
Mali,EMEA
Lesotho,EMEA
Central African Republic,EMEA
Gabon,EMEA
Burundi,EMEA
Liechtenstein,EMEA
Slovak Republic,EMEA
Moldavia,EMEA
Lithuania,EMEA
Turkmenistan,EMEA
Vatican City,EMEA
Namibia,EMEA
Somalia,EMEA
San Marino,EMEA
Comoros,EMEA
Monaco,EMEA
Montenegro,EMEA
Sao Tome and Principe,EMEA
Mexico,LATAM
Barbados,LATAM
Brazil,LATAM
Paraguay,LATAM
El Salvador,LATAM
Colombia,LATAM
Ecuador,LATAM
Peru,LATAM
Panama,LATAM
Chile,LATAM
Venezuela,LATAM
Honduras,LATAM
Bolivia,LATAM
Costa Rica,LATAM
Argentina,LATAM
Guatemala,LATAM
United States Minor Outlying,LATAM
Uruguay,LATAM
Jamaica,LATAM
Trinidad and Tobago,LATAM
Nicaragua,LATAM
Bahamas,LATAM
Bermuda,LATAM
Virgin Islands U.S.,LATAM
Dominican Republic,LATAM
Antigua/Barbuda,LATAM
Anguilla,LATAM
Guadeloupe,LATAM
Guyana,LATAM
Haiti,LATAM
Belize,LATAM
Guam,LATAM
Aruba,LATAM
St. Vincent,LATAM
Puerto Rico,LATAM
Suriname,LATAM
Cayman Islands,LATAM
Cuba,LATAM
USA,North America
Canada,North America
