Expected Top Features,FundamentalType
AlexaRank,Numeric
AlexaReachPerMillion,Numeric
AlexaReachRank,Numeric
AlexaUSPageViews,Numeric
AlexaUSRank,Numeric
AlexaUSUsers,Numeric
AlexaViewsPerMillion,Numeric
AlexaViewsPerUser,Numeric
AlexaViewsRank,Numeric
AlexaLinksIn,Numeric
BusinessAnnualSalesAbs,Numeric
BusinessEmployeesRange,Categorical
BusinessEstimatedAnnualSales,Numeric
BusinessEstimatedAnnualSales_k,Categorical
BusinessSocialPresence,Categorical
BusinessTechnologiesAds,Numeric
BusinessTechnologiesAnalytics,Numeric
BusinessTechnologiesCdn,Numeric
BusinessTechnologiesCms,Numeric
BusinessTechnologiesDocinfo,Numeric
BusinessTechnologiesEncoding,Numeric
BusinessTechnologiesFeeds,Numeric
BusinessTechnologiesFirstDetected,Numeric
BusinessTechnologiesFramework,Numeric
BusinessTechnologiesHosting,Numeric
BusinessTechnologiesJavascript,Numeric
BusinessTechnologiesMapping,Numeric
BusinessTechnologiesMarketingAutomation,Numeric
BusinessTechnologiesMedia,Numeric
BusinessTechnologiesMx,Numeric
BusinessTechnologiesNs,Numeric
BusinessTechnologiesOpenSourceAdoption,Numeric
BusinessTechnologiesParked,Numeric
BusinessTechnologiesPayment,Numeric
BusinessTechnologiesRecentlyDetected,Numeric
BusinessTechnologiesRecentTags,Numeric
BusinessTechnologiesRecentTechnologies,Numeric
BusinessTechnologiesSeoHeaders,Numeric
BusinessTechnologiesSeoMeta,Numeric
BusinessTechnologiesSeoTitle,Numeric
BusinessTechnologiesServer,Numeric
BusinessTechnologiesShop,Numeric
BusinessTechnologiesSocialMediaPresence,Numeric
BusinessTechnologiesSsl,Numeric
BusinessTechnologiesWebMaster,Numeric
BusinessTechnologiesWebServer,Numeric
BusinessTechnologiesWidgets,Numeric
CloudTechnologies_AcademicEduMgmtSoftware,Numeric
CloudTechnologies_ApplicationDevelopmentMgmt,Numeric
CloudTechnologies_AssetPerformanceManagement,Numeric
