COMPANY_NAME,Account Name
ACCOUNT_ID,Account ID
DESCRIPTION,Campaign Description
PLAY_ID,Campaign ID
LAUNCH_DATE,Campaign Launch Date
LAUNCH_ID,Campaign Launch ID
DESTINATION_ORG_ID,Campaign Launch System
DESTINATION_SYS_TYPE,Campaign Launch System Type
LAST_UPDATED_TIMESTAMP,Campaign Launch Time
MONETARY_VALUE,Expected Revenue
PRIORITY_ID,Lattice Identifier
PRIORITY_DISPLAY_NAME,Lattice Rating
LIKELIHOOD,Lattice Score
LIFT,Lift
RATING_MODEL_ID,Model ID
EXTERNAL_ID,Recommendation ID
SFDC_ACCOUNT_ID,SFDC Account ID
PID,PID
LE_ACCOUNT_EXTERNAL_ID,Lattice Account ID
MONETARY_VALUE_ISO4217_ID,Expected_Revenue
MODEL_SUMMARY_ID,Model Summary Id
SYNC_DESTINATION,Sync Destination
TENANT_ID,Tenant ID
DELETED,Is Recommendation Deleted?
