Email,Contact Email
PhoneNumber,Contact Phone No.
ContactName,Contact Name
Address_Street_1,Contact address
City,Contact City
State,Contact State
PostalCode,Contact Zip Code
Country,Contact Country
SfdcContactID,Contact SFDC ID
ContactID,Contact ID
FirstName, Contact First Name
LastName, Contact Last Name
Title, Contact Title
DoNotCall, Contact Do Not Call
DoNotMail, Contact Do Not Mail
CreatedDate, Contact Created Date
LastModifiedDate, Contact Last Modified Date
Address_Street_2, Contact Address2
