domain,Domain
name,BusinessName
website,Website
address_address1,BusinessAddress1
address_address2,BusinessAddress2
address_city,BusinessCity
address_state,BusinessState
address_zip,BusinessZip
address_country,BusinessCountry
employees_range,BusinessEmployeesRange
revenue_range,BusinessRevenueRange
year_founded,Year_Founded
industry,Industry
categories,Categories
description,Description
email,BusinessEmail
fax,Fax
phone,Phone
technologies,Tech_Used
linkedin_account_url,LinkedIn_Url
facebook_account_url,Facebook_Url
facebook_account_likes,Facebook_Likes
twitter_account_url,Twitter_Url
twitter_account_followers,Twitter_Followers
googleplus_account_url,GooglePlus_Url
pinterest_account_url,Pinterest_Url
youtube_account_url,YouTube_Url
total_funding,Total_Amount_Raised
last_funding_round_amount,Last_Funding_Round_Amount
last_funding_round_year,Last_Funding_Round_Year
